APPAREL
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
LAINEY-T1049-S,2024 Tour T-Shirt,T-Shirt,"",S,0,0%,0,$0.00,$0.00,0%
LAINEY-T1049-M,2024 Tour T-Shirt,T-Shirt,"",M,0,0%,0,$0.00,$0.00,0%
LAINEY-T1049-L,2024 Tour T-Shirt,T-Shirt,"",L,0,0%,0,$0.00,$0.00,0%
LAINEY-T1049-XL,2024 Tour T-Shirt,T-Shirt,"",XL,0,0%,0,$0.00,$0.00,0%
LAINEY-T1049-XXL,2024 Tour T-Shirt,T-Shirt,"",2XL,0,0%,0,$0.00,$0.00,0%
LAINEY-T1049-XXXL,2024 Tour T-Shirt,T-Shirt,"",3XL,0,0%,0,$0.00,$0.00,0%
SUBTOTAL,2024 Tour T-Shirt,T-Shirt,"","",0,0%,0,$0.00,$0.00,0%

LAINEY-T1056-S,Country's Cool Again Tour T-Shirt,T-Shirt,U,S,0,0%,0,$0.00,$0.00,0%
LAINEY-T1056-M,Country's Cool Again Tour T-Shirt,T-Shirt,U,M,0,0%,0,$0.00,$0.00,0%
LAINEY-T1056-L,Country's Cool Again Tour T-Shirt,T-Shirt,U,L,0,0%,0,$0.00,$0.00,0%
LAINEY-T1056-XL,Country's Cool Again Tour T-Shirt,T-Shirt,U,XL,0,0%,0,$0.00,$0.00,0%
LAINEY-T1056-XXL,Country's Cool Again Tour T-Shirt,T-Shirt,U,2XL,0,0%,0,$0.00,$0.00,0%
SUBTOTAL,Country's Cool Again Tour T-Shirt,T-Shirt,U,"",0,0%,0,$0.00,$0.00,0%

LAINEY-T1048-S,Green Wildflowers T-Shirt,T-Shirt,U,S,0,0%,0,$0.00,$0.00,0%
LAINEY-T1048-M,Green Wildflowers T-Shirt,T-Shirt,U,M,0,0%,0,$0.00,$0.00,0%
LAINEY-T1048-L,Green Wildflowers T-Shirt,T-Shirt,U,L,0,0%,0,$0.00,$0.00,0%
LAINEY-T1048-XL,Green Wildflowers T-Shirt,T-Shirt,U,XL,0,0%,0,$0.00,$0.00,0%
LAINEY-T1048-XXL,Green Wildflowers T-Shirt,T-Shirt,U,2XL,0,0%,0,$0.00,$0.00,0%
SUBTOTAL,Green Wildflowers T-Shirt,T-Shirt,U,"",0,0%,0,$0.00,$0.00,0%

LAINEY-T1047-S,Cream Guitar T-Shirt ,T-Shirt,U,S,21,24%,0,$45.00,$945.00,24%
LAINEY-T1047-M,Cream Guitar T-Shirt ,T-Shirt,U,M,25,28%,0,$45.00,"$1,125.00",28%
LAINEY-T1047-L,Cream Guitar T-Shirt ,T-Shirt,U,L,22,25%,2,$45.00,$990.00,25%
LAINEY-T1047-XL,Cream Guitar T-Shirt ,T-Shirt,U,XL,21,24%,0,$45.00,$945.00,24%
LAINEY-T1047-XXL,Cream Guitar T-Shirt ,T-Shirt,U,2XL,0,0%,0,$0.00,$0.00,0%
SUBTOTAL,Cream Guitar T-Shirt ,T-Shirt,U,"",89,8%,2,$45.00,"$4,005.00",11%

LAINEY-T1051-S,Desert Circle Photo T-Shirt,T-Shirt,U,S,20,27%,0,$45.00,$900.00,27%
LAINEY-T1051-M,Desert Circle Photo T-Shirt,T-Shirt,U,M,19,26%,0,$45.00,$855.00,26%
LAINEY-T1051-L,Desert Circle Photo T-Shirt,T-Shirt,U,L,15,21%,0,$45.00,$675.00,21%
