APPAREL
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
LAINEY-T1049-S,2024 Tour T-Shirt,T-Shirt,"",S,83,24%,0,$45.00,"$3,735.00",24%
LAINEY-T1049-M,2024 Tour T-Shirt,T-Shirt,"",M,110,31%,0,$45.00,"$4,950.00",31%
LAINEY-T1049-L,2024 Tour T-Shirt,T-Shirt,"",L,89,25%,0,$45.00,"$4,005.00",25%
LAINEY-T1049-XL,2024 Tour T-Shirt,T-Shirt,"",XL,44,12%,0,$45.00,"$1,980.00",12%
LAINEY-T1049-XXL,2024 Tour T-Shirt,T-Shirt,"",2XL,27,8%,0,$45.00,"$1,215.00",8%
SUBTOTAL,2024 Tour T-Shirt,T-Shirt,"","",353,10%,0,$45.00,"$15,885.00",10%

LAINEY-T1056-S,Country's Cool Again Tour T-Shirt,T-Shirt,U,S,83,19%,0,$45.00,"$3,735.00",19%
LAINEY-T1056-M,Country's Cool Again Tour T-Shirt,T-Shirt,U,M,91,21%,0,$45.00,"$4,095.00",21%
LAINEY-T1056-L,Country's Cool Again Tour T-Shirt,T-Shirt,U,L,115,27%,0,$45.00,"$5,175.00",27%
LAINEY-T1056-XL,Country's Cool Again Tour T-Shirt,T-Shirt,U,XL,93,22%,0,$45.00,"$4,185.00",22%
LAINEY-T1056-XXL,Country's Cool Again Tour T-Shirt,T-Shirt,U,2XL,45,11%,0,$45.00,"$2,025.00",11%
SUBTOTAL,Country's Cool Again Tour T-Shirt,T-Shirt,U,"",427,13%,0,$45.00,"$19,215.00",12%

LAINEY-T1048-S,Green Wildflowers T-Shirt,T-Shirt,U,S,135,24%,0,$45.00,"$6,075.00",24%
LAINEY-T1048-M,Green Wildflowers T-Shirt,T-Shirt,U,M,164,29%,0,$45.00,"$7,380.00",29%
LAINEY-T1048-L,Green Wildflowers T-Shirt,T-Shirt,U,L,120,21%,0,$45.00,"$5,400.00",21%
LAINEY-T1048-XL,Green Wildflowers T-Shirt,T-Shirt,U,XL,92,16%,0,$45.00,"$4,140.00",16%
LAINEY-T1048-XXL,Green Wildflowers T-Shirt,T-Shirt,U,2XL,53,9%,0,$45.00,"$2,385.00",9%
SUBTOTAL,Green Wildflowers T-Shirt,T-Shirt,U,"",564,17%,0,$45.00,"$25,380.00",16%

LAINEY-T1047-S,Cream Guitar T-Shirt ,T-Shirt,U,S,42,25%,0,$45.00,"$1,890.00",25%
LAINEY-T1047-M,Cream Guitar T-Shirt ,T-Shirt,U,M,51,30%,0,$45.00,"$2,295.00",30%
