APPAREL
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
LAINEY-HOOD1001-S,*DONATE*Nashville Flower Hoodie Black 23',Pullover Hoodie,"",S,15,23%,0,$75.00,"$1,125.00",23%
LAINEY-HOOD1001-M,*DONATE*Nashville Flower Hoodie Black 23',Pullover Hoodie,"",M,0,0%,0,$0.00,$0.00,0%
LAINEY-HOOD1001-L,*DONATE*Nashville Flower Hoodie Black 23',Pullover Hoodie,"",L,0,0%,0,$0.00,$0.00,0%
LAINEY-HOOD1001-XL,*DONATE*Nashville Flower Hoodie Black 23',Pullover Hoodie,"",XL,0,0%,0,$0.00,$0.00,0%
LAINEY-HOOD1001-XXL,*DONATE*Nashville Flower Hoodie Black 23',Pullover Hoodie,"",2XL,51,77%,0,$75.00,"$3,825.00",77%
SUBTOTAL,*DONATE*Nashville Flower Hoodie Black 23',Pullover Hoodie,"","",66,2%,0,$75.00,"$4,950.00",6%

LAINEY-T1045-XS,Floral Portrait Tour T-Shirt (Dated),T-Shirt,"",XS,13,2%,0,$43.90,$570.70,2%
LAINEY-T1045-S,Floral Portrait Tour T-Shirt (Dated),T-Shirt,"",S,140,19%,0,$43.90,"$6,146.00",19%
LAINEY-T1045-M,Floral Portrait Tour T-Shirt (Dated),T-Shirt,"",M,173,24%,0,$43.90,"$7,594.70",24%
LAINEY-T1045-L,Floral Portrait Tour T-Shirt (Dated),T-Shirt,"",L,196,27%,0,$43.90,"$8,604.40",27%
LAINEY-T1045-XL,Floral Portrait Tour T-Shirt (Dated),T-Shirt,"",XL,148,20%,1,$43.90,"$6,497.20",20%
LAINEY-T1045-XXL,Floral Portrait Tour T-Shirt (Dated),T-Shirt,"",2XL,65,9%,0,$43.90,"$2,853.50",9%
SUBTOTAL,Floral Portrait Tour T-Shirt (Dated),T-Shirt,"","",735,26%,1,$43.90,"$32,266.50",36%

LAINEY-T1030-M,*DONATE*White 2023 Tour T-Shirt,T-Shirt,"",M,2,2%,0,$20.00,$40.00,2%
LAINEY-T1030-L,*DONATE*White 2023 Tour T-Shirt,T-Shirt,"",L,1,1%,0,$20.00,$20.00,1%
LAINEY-T1030-XL,*DONATE*White 2023 Tour T-Shirt,T-Shirt,"",XL,65,72%,0,$20.00,"$1,300.00",72%
LAINEY-T1030-XXL,*DONATE*White 2023 Tour T-Shirt,T-Shirt,"",2XL,22,24%,0,$20.00,$440.00,24%
SUBTOTAL,*DONATE*White 2023 Tour T-Shirt,T-Shirt,"","",90,3%,0,$20.00,"$1,800.00",2%

LAINEY-T1021-S,*DONATE* 2023 Tour T-Shirt,T-Shirt,"",S,2,1%,0,$20.00,$40.00,1%
LAINEY-T1021-M,*DONATE* 2023 Tour T-Shirt,T-Shirt,"",M,109,36%,0,$20.00,"$2,180.00",36%
LAINEY-T1021-L,*DONATE* 2023 Tour T-Shirt,T-Shirt,"",L,99,33%,0,$20.00,"$1,980.00",33%
LAINEY-T1021-XL,*DONATE* 2023 Tour T-Shirt,T-Shirt,"",XL,48,16%,0,$20.00,$960.00,16%
LAINEY-T1021-XXL,*DONATE* 2023 Tour T-Shirt,T-Shirt,"",2XL,35,12%,0,$20.00,$700.00,12%
LAINEY-T1021-3XL,*DONATE* 2023 Tour T-Shirt,T-Shirt,"",3XL,9,3%,0,$20.00,$180.00,3%
SUBTOTAL,*DONATE* 2023 Tour T-Shirt,T-Shirt,"","",302,11%,0,$20.00,"$6,040.00",7%

LAINEY-T1036-S,*DONATE*Gold Lainey fucking Wilson ,T-Shirt,M,S,5,4%,0,$20.00,$100.00,4%
LAINEY-T1036-M,*DONATE*Gold Lainey fucking Wilson ,T-Shirt,M,M,45,37%,0,$20.00,$900.00,37%
LAINEY-T1036-L,*DONATE*Gold Lainey fucking Wilson ,T-Shirt,M,L,40,33%,0,$20.00,$800.00,33%
LAINEY-T1036-XL,*DONATE*Gold Lainey fucking Wilson ,T-Shirt,M,XL,16,13%,0,$20.00,$320.00,13%
