APPAREL
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
LAINEY-T1049-XS,2024 Tour T-Shirt,T-Shirt,"",XS,67,13%,0,$45.00,"$3,015.00",13%
LAINEY-T1049-S,2024 Tour T-Shirt,T-Shirt,"",S,134,26%,0,$45.00,"$6,030.00",26%
LAINEY-T1049-M,2024 Tour T-Shirt,T-Shirt,"",M,115,22%,0,$45.00,"$5,175.00",22%
LAINEY-T1049-L,2024 Tour T-Shirt,T-Shirt,"",L,125,24%,1,$45.00,"$5,625.00",24%
LAINEY-T1049-XL,2024 Tour T-Shirt,T-Shirt,"",XL,48,9%,0,$45.00,"$2,160.00",9%
LAINEY-T1049-XXL,2024 Tour T-Shirt,T-Shirt,"",2XL,31,6%,0,$45.00,"$1,395.00",6%
SUBTOTAL,2024 Tour T-Shirt,T-Shirt,"","",520,26%,1,$45.00,"$23,400.00",26%

LAINEY-T1056-S,Country's Cool Again Tour T-Shirt,T-Shirt,U,S,71,20%,0,$45.00,"$3,195.00",20%
LAINEY-T1056-M,Country's Cool Again Tour T-Shirt,T-Shirt,U,M,113,32%,0,$45.00,"$5,085.00",32%
LAINEY-T1056-L,Country's Cool Again Tour T-Shirt,T-Shirt,U,L,77,22%,0,$45.00,"$3,465.00",22%
LAINEY-T1056-XL,Country's Cool Again Tour T-Shirt,T-Shirt,U,XL,57,16%,0,$45.00,"$2,565.00",16%
LAINEY-T1056-XXL,Country's Cool Again Tour T-Shirt,T-Shirt,U,2XL,32,9%,0,$45.00,"$1,440.00",9%
SUBTOTAL,Country's Cool Again Tour T-Shirt,T-Shirt,U,"",350,18%,0,$45.00,"$15,750.00",18%

LAINEY-T1047-S,Cream Guitar T-Shirt ,T-Shirt,U,S,21,22%,0,$45.00,$945.00,22%
LAINEY-T1047-M,Cream Guitar T-Shirt ,T-Shirt,U,M,35,37%,0,$45.00,"$1,575.00",37%
LAINEY-T1047-L,Cream Guitar T-Shirt ,T-Shirt,U,L,24,25%,0,$45.00,"$1,080.00",25%
LAINEY-T1047-XL,Cream Guitar T-Shirt ,T-Shirt,U,XL,6,6%,0,$45.00,$270.00,6%
LAINEY-T1047-XXL,Cream Guitar T-Shirt ,T-Shirt,U,2XL,9,9%,0,$45.00,$405.00,9%
SUBTOTAL,Cream Guitar T-Shirt ,T-Shirt,U,"",95,5%,0,$45.00,"$4,275.00",5%

LAINEY-T1051-S,Desert Circle Photo T-Shirt,T-Shirt,U,S,7,12%,0,$45.00,$315.00,12%
LAINEY-T1051-M,Desert Circle Photo T-Shirt,T-Shirt,U,M,28,47%,0,$45.00,"$1,260.00",47%
LAINEY-T1051-L,Desert Circle Photo T-Shirt,T-Shirt,U,L,11,18%,0,$45.00,$495.00,18%
LAINEY-T1051-XL,Desert Circle Photo T-Shirt,T-Shirt,U,XL,7,12%,0,$45.00,$315.00,12%
LAINEY-T1051-XXL,Desert Circle Photo T-Shirt,T-Shirt,U,2XL,7,12%,0,$45.00,$315.00,12%
SUBTOTAL,Desert Circle Photo T-Shirt,T-Shirt,U,"",60,3%,0,$45.00,"$2,700.00",3%

LAINEY-T1052-S,Spotlight Photo T-Shirt,T-Shirt,U,S,23,21%,0,$45.00,"$1,035.00",21%
